文件名,时长,标题,参与创作的艺术家,
7co - Late summer waves.mp3,0:02:35,Late summer waves,7co,"['7co - Late summer waves.mp3', '02:35', 'Late summer waves', '7co', 1],"
lasah - GHOST OF LORELEY.mp3,0:04:37,GHOST OF LORELEY,lasah,"['lasah - GHOST OF LORELEY.mp3', '04:37', 'GHOST OF LORELEY', 'lasah', 1],"
LonePi 初音ミク - 水死体は恋したい.mp3,0:03:05,水死体は恋したい,LonePi ;  初音ミク,"['LonePi 初音ミク - 水死体は恋したい.mp3', '03:05', '水死体は恋したい', 'LonePi ;  初音ミク', 1],"
MIMI 初音ミク - マシュマリー.mp3,0:03:33,マシュマリー,MIMI ;  初音ミク,"['MIMI 初音ミク - マシュマリー.mp3', '03:33', 'マシュマリー', 'MIMI ;  初音ミク', 1],"
ウォルピスカーター - 泥中に咲く.mp3,0:04:47,泥中に咲く,ウォルピスカーター,"['ウォルピスカーター - 泥中に咲く.mp3', '04:47', '泥中に咲く', 'ウォルピスカーター', 1],"
"初音ミク,ゆうゆ - しんかいしょうじょ.mp3",0:03:35,しんかいしょうじょ,初音ミク; ゆうゆ,"['初音ミク,ゆうゆ - しんかいしょうじょ.mp3', '03:35', 'しんかいしょうじょ', '初音ミク; ゆうゆ', 1],"
,0:22:12,,,
